1,See Yourself in Ames,Kellogg Ave & Main St,"301 Main St #105, Ames, IA 50010"
2,Cy the Dentist Guy,Pyfferoen Pediatric Dentistry,"301 5th St , Ames, IA"
3,Cy-House Rock!,Friedrich Iowa Realty,"100 6th St, Ames, IA"
4,Protect and Serve Cy,City Hall,"515 Clark Ave, Ames, IA"
5,Dia de los Ciclones,YSS Family Life Center,"125 S 3rd St, Ames, IA"
6,Anatomy of a Cyclone,Inside Mary Greeley Medical Center,"1111 Duff Ave, Ames, IA"
7,Celebrating 150 Years of Town and Gown,Inis Grove Park,"2500 Duff Ave, Ames, IA"
8,Spirit of Fashion,Inside North Grand Mall,"2801 Grand Ave, Ames, IA"
9,"Local Banker, Local Hero",Bankers Trust,"3725 Stange Rd, Ames, IA"
10,ExCyted to Serve,Fareway - Somerset,"3619 Stange Rd, Ames, IA"
11,M Wally B,Wallaby's,"2733 Stange Rd, Ames, IA"
12,DeCYde to Get Fit,Ames Racquet & Fitness Center Somerset,2622 Stange Rd
13,Astro Cy,Inside Howe Hall,"NE corner on Bissel Road, Ames, IA"
14,Graduation Cy,Inside Union Drive Community Center,"2499 Union Dr, Ames, IA"
15,Cy's Tribute,Inside ISU Memorial Union,"2229 Lincoln Way, Ames, IA"
16,Bronze Cy (the original!),ISU Alumni Center,"420 Beach Ave, Ames, IA"
17,LegaCy Tribute to Jack Trice,Parking lot south of Jack Trice Stadium,
18,What We Love About ISU,Reiman Gardens,"1407 University Blvd, Ames, IA"
19,Dr. Cy,ISU Small Animal Hospital,"1809 S Riverside Dr, Ames, IA"
20,CYtes of Ames,Discover Ames,"1601 Golden Aspen Dr, Ames, IA"
21,Pilot Cy,Ames Municipal Airport,"2520 Airport Dr, Ames, IA"
22,Cy Strong,Inside Converse Conditioned Air,"3116 S Duff Ave, Ames, IA"
23,Cy's All In for an Ames Tradition,Hickory Park,"1404 S Duff Ave, Ames, IA"
24,All In Cy,First Interstate Bank,"316 S Duff Ave, Ames, IA"
25,Construction Cy,Manatts,"2120 E 13th St, Ames, IA"
26,MetalliCy,"Todd & Sargent, Inc.","2905 SE 5th St, Ames, IA"
27,Bronze Cy,Gateway Hotel and Conference Center,"2100 Green Hills Dr, Ames, IA"
